sentence_id,char_range,original_id
22ed0292-bbc6-4281-9946-9029297e55ec,"[18460,18547)",165
ed06d836-9286-4981-9c99-a830d4b23b14,"[18547,18565)",67
2ff8ebfe-4a37-407b-9ff9-6fdc7e2eca38,"[18565,18604)",166
5001209d-b702-455d-ae8b-9ad990d218e0,"[18604,18818)",167
969941bf-ef2e-4f7f-a8ae-4b22e8c1da25,"[18818,18930)",168
3c1456dc-c0b9-4eaf-a253-8efbeee0e4c6,"[18930,19020)",169
50c5034a-65ba-4299-a5eb-2de14b784c0f,"[19020,19152)",170
b8e0c8de-d81f-4d9e-97d6-5d79bb4515f0,"[19152,19179)",131
8c03d3a4-271d-43a0-9fc4-03a34edbae5f,"[19179,19185)",47
2dd8ba69-2539-475c-b34a-9ac2d20d39ee,"[19185,19219)",132
ac6e6663-88e0-4d97-8193-ff1b2433d8d1,"[19219,19225)",133
eabe6752-a2e7-40db-9675-79a09501865b,"[19225,19515)",171
812a2d3e-895a-4eb4-ad74-ce424e3dfa96,"[19515,19556)",172
18fe96df-7a99-4fe1-b870-4dea2f5d4c5b,"[19556,19760)",173
348b0fdf-3a20-44a6-83c7-1bd08be68272,"[19760,20027)",174
43f9918f-afba-4ca2-8d3d-1f1bfd0dc993,"[20027,20136)",175
d5f04b65-a3d6-4d93-8350-4ae4f69c1df3,"[20136,20255)",176
662e9d68-5ded-4b61-8f3d-f06c260f2e15,"[20255,20292)",177
a4e1fefe-a649-44b0-8a22-a70263ecf740,"[20292,20427)",178
6951c1ab-620f-4d8b-a004-fb6175b38be4,"[20427,20461)",179
36951047-58ed-42d7-ad8f-f210482e8b68,"[20461,20522)",180
05ecdf75-8dd8-4396-be13-0e11cc2e6ea0,"[20522,20657)",181
b9521607-2bff-4679-915c-7e2aeaa8cf59,"[20657,20767)",182
3290dfb3-7a33-4c60-8882-b84ab367d752,"[20767,20819)",183
f931badc-eb49-43a5-9167-47520b094103,"[20819,20885)",184
60e06f8c-50d9-45b5-b9e3-e5c86a2f6724,"[20885,20887)",185
d330b632-1c71-4f79-b571-78f9c9c19c3c,"[20887,21048)",186
d3b13b44-5e01-4317-9a84-7f4139289abb,"[21048,21205)",187
86f61dfb-fd38-4f82-bec6-f1d1ffe66d79,"[21205,21291)",188
f44bba81-2883-4299-83dc-1a264f7bbd13,"[21291,21374)",189
393b29a9-19a2-47f6-ad63-ea75f30c1540,"[21374,21463)",190
729d9500-8889-4093-8576-1c1875133c21,"[21463,21643)",191
6b61646b-2aea-4495-be8a-acf5bdf56001,"[21643,21753)",192
1a49bab8-dc8b-4bbc-930b-89c5574e991e,"[21753,22071)",193
9b878b4d-aeda-4b80-81a9-a11929edf66c,"[22071,22172)",194
b64a6185-a6c0-40ef-8b72-611781f4e8b3,"[22172,22315)",195
bb884717-a725-4bc2-8ac9-034c2e3ff780,"[22315,22386)",196
24a0a34a-e600-4ff9-95db-4cfd32b785ae,"[22386,22780)",197
e1248699-9e3c-4cfe-8621-3de410af1239,"[22780,22830)",198
4199285f-e2ee-44c7-9efc-ae212794cd22,"[22830,22843)",199
3e0d2cb9-9e53-43d4-8f00-36c20028b251,"[22843,22892)",200
8f3183bb-2ee2-435c-906f-62059c995977,"[22892,23006)",201
0cc6edae-413c-4c5b-8b8c-709b2e0a3ce0,"[23006,23139)",202
2dae5c66-34e5-473c-a505-b673dc2d4834,"[23139,23150)",203
9f493ff0-2eaf-41cd-aff7-f1f29e3cec9a,"[23150,23291)",204
1228f354-f919-45df-a7da-2c44cc94befc,"[23291,23391)",205
cc0f919f-78b7-46a6-9ebd-c675b128c5a9,"[23391,23467)",206
dc67c845-bc3f-409b-a05b-76b7a883322b,"[23467,23525)",207
