text_id,text
581,bim den Fahl
582,Berg
583,este
584,bey dem Fahl
585,Wabern
586,Nüwenburg
587,Couvet
588,Vauldtravert
589,Berne
590,Kreitzgassen
591,pays de Berne
592,Lé Places
593,porte des Estans
594,Nüwenburger gebieths
595,Ensishein
596,Engesen
597,In der hart
598,Auf der Hardt
599,Fribourg-en-Brisgau
600,Bahle
601,dernier
602,Cheval blanc
603,College
604,Biene
605,Colmar
606,Bougan
607,Soleure
608,porte de Romont
609,Nidauw
610,Zurich
611,Liechstel
612,Roseys
613,Buchwaldts
614,Eischels
615,Plaßelb
616,Courtaney
617,Cortaney
618,Fälbach
619,genberg
620,Fehlbach
621,Plaselb
622,Muschels
623,Rechthaltner
624,Welschlandt
625,Romandie
626,Tchabel
627,Vadens
628,Bulle
629,Grolley
630,Ria
631,Jagimar
632,Lehn
633,Güffers
634,Wallißlandt
635,Constantzer
636,Galmis
637,Galmiz
638,Bürglenthor
639,er
640,sperg
641,Mertenlach
642,Eichholtz
643,Retschwill
644,Röschiwil
645,Golmetschwill
646,Golmetschür
647,Hattenberg
648,Tscherlun
649,Petterlingen
650,Myddes
651,Myde
652,Chatonaye
653,Thorni
654,Remondt
655,Bruyere
656,heylligen Römischen rychs
657,Gallgenbergs
658,Middes
659,La Condemina
660,en Mobrysson
661,bergs
662,Mides
663,Tornie
664,Echieles
665,Lechieles
666,Laurent
667,Visternens
668,Visternes
669,Vuisternens-en-Ogoz
670,Aisellettes
671,Sorens
672,Assilietes
673,Favernachen
674,Villarsel
675,Freydevilla
676,Chermey
677,Plaffeyen
678,von Eynsidlen
679,Mark
680,Eynsidlen
681,Stockera
682,Taspers
683,Hermesperg
684,Tasberg
685,Hermisberg
686,Haßli
687,Endlibuch
688,Unser Lieben Frauwen von Werdenstein
689,Loch
690,Jacquemart
691,keller
692,Rothenthurns
693,La Tour de Treima
694,Jasquemard
695,Augstthall
696,Val d’Aouste
697,S. Petters
698,Aoustaz
699,Erbei
700,Bruil
701,Maules
702,Sales
703,Jasquimar
704,Nonnan
705,Dame des Hermites
706,Lucerne
707,Matran
708,Mattran
709,Moncourt
710,Montcour
711,Montcours
712,Anthoine
713,Chapelle Saint-Antoine
714,Matrans
715,Neyru
716,Dompdidier
717,Moncour
718,Marli
719,des Oyes
720,Marze
721,Les Marches
722,Bois du Pont
723,Pont Neuf
724,Marchet
725,Creu de Ratt
726,Creu Dornant
727,Glaina
728,Domp Pieru
729,Rahthauß
730,Jaggimar
731,ome
732,Zollets thurn
733,rive
734,Farvanier
735,à La Bouzilli
736,Rue des Oyes
737,Couttin
738,Verdilu
739,Verdillu
740,Verdelieu
741,Eccuvilin
742,Belfu
743,Lussi
744,Lé Plases
745,zum Weissen Rössli
746,schmachporten
747,Zeirru
748,es Granges à Paccot
749,Rossey
750,Avri
751,Neyruz
752,Cutrivi
753,Purraban
754,Bourgonie
755,Port Alban
756,Cutrivy
757,Pont neuf
758,Barberezi
759,Jasque
760,Moncor
761,an
