ref_id,ref
503,loc009824.05
504,loc007693.14
505,loc010145.04
506,loc012047.02
507,loc009824.03
508,loc009797.05
509,loc007683.18
510,loc007957.04
511,loc007600.12
512,loc007650.05
513,loc007600.13
514,loc007600.08
515,loc007600.16
516,loc007603.03
517,loc007690
518,loc001310.05
519,loc008100.02
520,loc008149.07
521,loc008026.08
522,loc008099.04
523,loc010713
524,loc008485.06
525,loc007785.04
526,loc007630.07
527,loc005865.05
528,loc008105.04
529,loc007785.07
530,loc008168.03
531,loc001395.06
532,loc010697.02
533,loc007630.06
534,loc001395.08
535,loc013404.02
536,loc011696.02
537,loc009136
538,loc011755.05
539,loc009238.03
540,loc007690.09
541,loc011838.02
542,loc005954.05
543,loc011835.02
544,loc007627.05
545,loc008108.03
546,loc007655.11
547,loc011835.03
548,loc011838.03
549,loc007627.01
550,loc009136.07
551,loc009136.06
552,loc009136.08
553,loc007627
554,loc009238.04
555,loc011755.04
556,loc008693.03
557,loc011754.02
558,loc011755.03
559,loc008893
560,loc007785.15
561,loc007787
562,loc008520.07
563,loc000157.07
564,loc010679.02
565,loc005582.11
566,loc007883.06
567,loc010680.03
568,loc007785.14
569,loc000252.03
570,loc000252.04
571,loc006439.05
572,loc000161.11
573,loc012796.03
574,loc010681.01
575,loc010696.03
576,loc000740.16
577,loc010685
578,loc007883.04
579,loc011679.02
580,loc000738.08
581,loc000737.12
582,loc010688.03
583,loc001312.04
584,loc000065.22
585,loc010692.02
586,loc005866.11
587,loc007594.05
588,loc012659.06
589,loc008558.09
590,loc011937.02
591,loc008091.03
592,loc008479
593,loc008479.02
594,loc008091.01
595,loc011049.05
596,loc011049.04
597,loc007667.01
598,loc013579.04
599,loc013579.02
600,loc012046.02
601,loc007597.01
602,loc007947.06
603,loc007861.01
604,loc007951.01
605,loc007846.02
606,loc007890.13
607,loc012110.01
608,loc012110
609,loc007626.09
610,loc005954.11
611,loc000008.01
612,loc007849.01
613,loc012105.01
614,loc012112.03
615,loc010834.03
616,loc007630.08
617,loc008034.02
618,loc009848.03
619,loc012145
620,loc012146
621,loc008088.02
622,loc012105
623,loc007610.02
624,loc007893.03
625,loc007893.04
626,loc008166.03
627,loc007892.07
628,loc007647.06
629,loc000672.10
630,loc008248.03
631,loc007893
632,loc008535.02
633,loc007892
634,loc000672
635,loc007893.02
636,loc007892.04
637,loc008130.03
638,loc008130.04
639,loc011036.02
640,loc008141.06
641,loc008141
642,loc011701.08
643,loc007663.01
644,loc011701.04
645,loc007935.15
646,loc008660.02
647,loc011687.02
648,loc007849.04
649,loc008091.02
650,loc007595.02
651,loc000085.16
652,loc012229.02
653,loc000085.17
654,loc012252.01
655,loc008045.05
656,loc008467.03
